;Ime;Adresa;Grad
;"

Central Cooperative Bank - Bitola (Centralna Kooperativna Banka)
";Dimitar Ilievski Murato (Boris Kidrich) 5;Bitola
;"

Central Cooperative Bank-Bitola
";Vasko Karangeleski b.b.;Bitola
;"Halkbank Bitola 1-ATM
";Josif Josifovski Sveshtarot 1;Bitola
;"Halkbank-Bitola 2 ATM
";"Josif Josifovski Sveshtarot 1
";Bitola
;"Halkbank-Shirok sokak ATM
";Shirok Sokak (Marshal Tito) b.b.;Bitola
;"Halkbank-Sport life ATM
";Partizanska 94 lok.1;Bitola
;"Komercijalna Banka Partizanska-ATM
";Partizanska b.b.;Bitola
;"Komercijalna Banka TC-ATM
";Vasko Karangeleski 71;Bitola
;"Komercijalna Banka Teo Travel-ATM
";Marshal Tito 60;Bitola
;"Komercijalna banka-Bitola
";Nikola Tesla 18;Bitola
;"NLB Banka-Bitola
";Josif Hristovski b.b.;Bitola
;"NLB Banka-Bitola
";Vasko Karangeleski 3/37;Bitola
;"NLB Banka-Bitola-Sud ATM
";bul.1-vi Maj b.b.;Bitola
;"NLB Banka-Sirok sokak
";Shirok Sokak (Marshal Tito) 45;Bitola
;"NLB Banka-Tineks
";Zaharija Shumljanska (Prilepska) 5;Bitola
;"ProCredit Bank-Bitola
";Dobrivoje Radosavljevikj 10;Bitola
;"ProCredit Bank-Stara Carshija
";Stara Carsija;Bitola
;"ProCredit Banka-Impuls Nova Bitola ATM
";Vidan Janakievski 3;Bitola
;"Silk Road Bank - Bitola
";Ignjat Atanasovski b.b.;Bitola
;"Sparkasse Bank-Bitola
";1-vi Maj 1;Bitola
;Stopanska Banka AD-Skopje-Bitola-Vero(Stopanska Banka AD-Skopje-Bitola);Vasko Karangeleski 41;Bitola
;Stopanska Banka AD-Skopje-Bitola-Vero(Stopanska Banka AD-Skopje-Bitola);Vasko Karangeleski 41;Bitola
;Stopanska Banka;Todor Skalovski 8;Bitola
;Stopanska Banka AD Bitola-ATM Bitola;Novachki pat, s.Novaci b.b.;Bitola
;Stopanska Banka AD Bitola-ATM Bitola;Zaharija Shumljanska (Prilepska) 44;Bitola
;Stopanska Banka AD Bitola-ATM Bitola;s.Suvodol;Bitola
;Stopanska Banka AD Skopje ATM;Shirok Sokak (Marshal Tito) 16;Bitola
;Stopanska Banka AD-Skopje-ATM-Bitola (Stopanska banka AD-Skopje-ATM Bitola);Partizanska b.b.;Bitola
;Stopanska Banka AD-Skopje-ATM-Bitola (Stopanska banka AD-Skopje-ATM Bitola);Stolarska b.b.;Bitola
;Stopanska Banka AD-Skopje-ATM-Bitola (Stopanska banka AD-Skopje-ATM Bitola);4-ti Noemvri b.b.;Bitola
;Stopanska Banka AD-Skopje-ATM-Bitola (Stopanska banka AD-Skopje-ATM Bitola);Filip Vtori Makedonski (Ivan Milutinovikj) 54;Bitola
;Stopanska Banka Bitola AD;Shirok Sokak (Marshal Tito) 16;Bitola
;Stopanska Banka Bitola AD;Dobrivoje Radosavljevikj 21;Bitola
;Stopanska Banka Reonsko Pazariste AD Bitola-ATM;Vasko Karangeleski b.b.;Bitola
;Stopanska banka Btiola AD;Partizanska b.b.;Bitola
;TTK Banka;Stolarska 1-g;Bitola
;TTK Banka;Zaharija Shumljanska (Prilepska) 42;Bitola
;TTK Banka-Ekspozitur Bitola PP;bul.1-vi Maj 204/4;Bitola
;TTK Banka-Bitola Nova Bitola;Vasko Karangeleski 41;Bitola
;TTK Banka-Filijala Bitola;Stolarska 7;Bitola
;Uni Bank (Uni Banka) ATM;Filip Vtori Makedonski (Ivan Milutinovikj) 52;Bitola
;Uni Banka-ATM;Vasko Karangeleski 31;Bitola
;Uni Banka-ATM ATM;Leninova 1;Bitola
